Código Departamento,Código Municipio,Nombre Departamento,Nombre Municipio,Tipo
05,05001,ANTIOQUIA,MEDELLÍN,Municipio
05,05002,ANTIOQUIA,ABEJORRAL,Municipio
05,05004,ANTIOQUIA,ABRIAQUÍ,Municipio
05,05021,ANTIOQUIA,ALEJANDRÍA,Municipio
05,05030,ANTIOQUIA,AMAGÁ,Municipio
05,05031,ANTIOQUIA,AMALFI,Municipio
05,05034,ANTIOQUIA,ANDES,Municipio
05,05036,ANTIOQUIA,ANGELÓPOLIS,Municipio
05,05038,ANTIOQUIA,ANGOSTURA,Municipio
05,05040,ANTIOQUIA,ANORÍ,Municipio
05,05042,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,Municipio
05,05044,ANTIOQUIA,ANZÁ,Municipio
05,05045,ANTIOQUIA,APARTADÓ,Municipio
05,05051,ANTIOQUIA,ARBOLETES,Municipio
05,05055,ANTIOQUIA,ARGELIA,Municipio
05,05059,ANTIOQUIA,ARMENIA,Municipio
05,05079,ANTIOQUIA,BARBOSA,Municipio
05,05086,ANTIOQUIA,BELMIRA,Municipio
05,05088,ANTIOQUIA,BELLO,Municipio
05,05091,ANTIOQUIA,BETANIA,Municipio
05,05093,ANTIOQUIA,BETULIA,Municipio
05,05101,ANTIOQUIA,CIUDAD BOLÍVAR,Municipio
05,05107,ANTIOQUIA,BRICEÑO,Municipio
05,05113,ANTIOQUIA,BURITICÁ,Municipio
05,05120,ANTIOQUIA,CÁCERES,Municipio
05,05125,ANTIOQUIA,CAICEDO,Municipio
05,05129,ANTIOQUIA,CALDAS,Municipio
05,05134,ANTIOQUIA,CAMPAMENTO,Municipio
05,05138,ANTIOQUIA,CAÑASGORDAS,Municipio
05,05142,ANTIOQUIA,CARACOLÍ,Municipio
05,05145,ANTIOQUIA,CARAMANTA,Municipio
05,05147,ANTIOQUIA,CAREPA,Municipio
05,05148,ANTIOQUIA,EL CARMEN DE VIBORAL,Municipio
05,05150,ANTIOQUIA,CAROLINA,Municipio
05,05154,ANTIOQUIA,CAUCASIA,Municipio
05,05172,ANTIOQUIA,CHIGORODÓ,Municipio
05,05190,ANTIOQUIA,CISNEROS,Municipio
05,05197,ANTIOQUIA,COCORNÁ,Municipio
05,05206,ANTIOQUIA,CONCEPCIÓN,Municipio
05,05209,ANTIOQUIA,CONCORDIA,Municipio
05,05212,ANTIOQUIA,COPACABANA,Municipio
05,05234,ANTIOQUIA,DABEIBA,Municipio
05,05237,ANTIOQUIA,DONMATÍAS,Municipio
05,05240,ANTIOQUIA,EBÉJICO,Municipio
05,05250,ANTIOQUIA,EL BAGRE,Municipio
05,05264,ANTIOQUIA,ENTRERRÍOS,Municipio
05,05266,ANTIOQUIA,ENVIGADO,Municipio
05,05282,ANTIOQUIA,FREDONIA,Municipio
05,05284,ANTIOQUIA,FRONTINO,Municipio
05,05306,ANTIOQUIA,GIRALDO,Municipio
05,05308,ANTIOQUIA,GIRARDOTA,Municipio
05,05310,ANTIOQUIA,GÓMEZ PLATA,Municipio
05,05313,ANTIOQUIA,GRANADA,Municipio
05,05315,ANTIOQUIA,GUADALUPE,Municipio
05,05318,ANTIOQUIA,GUARNE,Municipio
05,05321,ANTIOQUIA,GUATAPÉ,Municipio
05,05347,ANTIOQUIA,HELICONIA,Municipio
05,05353,ANTIOQUIA,HISPANIA,Municipio
05,05360,ANTIOQUIA,ITAGÜÍ,Municipio
05,05361,ANTIOQUIA,ITUANGO,Municipio
05,05364,ANTIOQUIA,JARDÍN,Municipio
05,05368,ANTIOQUIA,JERICÓ,Municipio
05,05376,ANTIOQUIA,LA CEJA,Municipio
05,05380,ANTIOQUIA,LA ESTRELLA,Municipio
05,05390,ANTIOQUIA,LA PINTADA,Municipio
05,05400,ANTIOQUIA,LA UNIÓN,Municipio
05,05411,ANTIOQUIA,LIBORINA,Municipio
05,05425,ANTIOQUIA,MACEO,Municipio
05,05440,ANTIOQUIA,MARINILLA,Municipio
05,05467,ANTIOQUIA,MONTEBELLO,Municipio
05,05475,ANTIOQUIA,MURINDÓ,Municipio
05,05480,ANTIOQUIA,MUTATÁ,Municipio
05,05483,ANTIOQUIA,NARIÑO,Municipio
05,05490,ANTIOQUIA,NECOCLÍ,Municipio
05,05495,ANTIOQUIA,NECHÍ,Municipio
05,05501,ANTIOQUIA,OLAYA,Municipio
05,05541,ANTIOQUIA,PEÑOL,Municipio
05,05543,ANTIOQUIA,PEQUE,Municipio
05,05576,ANTIOQUIA,PUEBLORRICO,Municipio
05,05579,ANTIOQUIA,PUERTO BERRÍO,Municipio
05,05585,ANTIOQUIA,PUERTO NARE,Municipio
05,05591,ANTIOQUIA,PUERTO TRIUNFO,Municipio
05,05604,ANTIOQUIA,REMEDIOS,Municipio
05,05607,ANTIOQUIA,RETIRO,Municipio
05,05615,ANTIOQUIA,RIONEGRO,Municipio
05,05628,ANTIOQUIA,SABANALARGA,Municipio
05,05631,ANTIOQUIA,SABANETA,Municipio
05,05642,ANTIOQUIA,SALGAR,Municipio
05,05647,ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,Municipio
05,05649,ANTIOQUIA,SAN CARLOS,Municipio
05,05652,ANTIOQUIA,SAN FRANCISCO,Municipio
05,05656,ANTIOQUIA,SAN JERÓNIMO,Municipio
05,05658,ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA,Municipio
05,05659,ANTIOQUIA,SAN JUAN DE URABÁ,Municipio
05,05660,ANTIOQUIA,SAN LUIS,Municipio
05,05664,ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,Municipio
05,05665,ANTIOQUIA,SAN PEDRO DE URABÁ,Municipio
05,05667,ANTIOQUIA,SAN RAFAEL,Municipio
05,05670,ANTIOQUIA,SAN ROQUE,Municipio
05,05674,ANTIOQUIA,SAN VICENTE FERRER,Municipio
05,05679,ANTIOQUIA,SANTA BÁRBARA,Municipio
05,05686,ANTIOQUIA,SANTA ROSA DE OSOS,Municipio
05,05690,ANTIOQUIA,SANTO DOMINGO,Municipio
05,05697,ANTIOQUIA,EL SANTUARIO,Municipio
05,05736,ANTIOQUIA,SEGOVIA,Municipio
05,05756,ANTIOQUIA,SONSÓN,Municipio
05,05761,ANTIOQUIA,SOPETRÁN,Municipio
05,05789,ANTIOQUIA,TÁMESIS,Municipio
05,05790,ANTIOQUIA,TARAZÁ,Municipio
05,05792,ANTIOQUIA,TARSO,Municipio
05,05809,ANTIOQUIA,TITIRIBÍ,Municipio
05,05819,ANTIOQUIA,TOLEDO,Municipio
05,05837,ANTIOQUIA,TURBO,Municipio
05,05842,ANTIOQUIA,URAMITA,Municipio
05,05847,ANTIOQUIA,URRAO,Municipio
05,05854,ANTIOQUIA,VALDIVIA,Municipio
05,05856,ANTIOQUIA,VALPARAÍSO,Municipio
05,05858,ANTIOQUIA,VEGACHÍ,Municipio
05,05861,ANTIOQUIA,VENECIA,Municipio
05,05873,ANTIOQUIA,VIGÍA DEL FUERTE,Municipio
05,05885,ANTIOQUIA,YALÍ,Municipio
05,05887,ANTIOQUIA,YARUMAL,Municipio
05,05890,ANTIOQUIA,YOLOMBÓ,Municipio
05,05893,ANTIOQUIA,YONDÓ,Municipio
05,05895,ANTIOQUIA,ZARAGOZA,Municipio
08,08001,ATLÁNTICO,BARRANQUILLA,Municipio
08,08078,ATLÁNTICO,BARANOA,Municipio
08,08137,ATLÁNTICO,CAMPO DE LA CRUZ,Municipio
08,08141,ATLÁNTICO,CANDELARIA,Municipio
08,08296,ATLÁNTICO,GALAPA,Municipio
08,08372,ATLÁNTICO,JUAN DE ACOSTA,Municipio
08,08421,ATLÁNTICO,LURUACO,Municipio
08,08433,ATLÁNTICO,MALAMBO,Municipio
08,08436,ATLÁNTICO,MANATÍ,Municipio
08,08520,ATLÁNTICO,PALMAR DE VARELA,Municipio
08,08549,ATLÁNTICO,PIOJÓ,Municipio
08,08558,ATLÁNTICO,POLONUEVO,Municipio
08,08560,ATLÁNTICO,PONEDERA,Municipio
08,08573,ATLÁNTICO,PUERTO COLOMBIA,Municipio
08,08606,ATLÁNTICO,REPELÓN,Municipio
08,08634,ATLÁNTICO,SABANAGRANDE,Municipio
08,08638,ATLÁNTICO,SABANALARGA,Municipio
08,08675,ATLÁNTICO,SANTA LUCÍA,Municipio
08,08685,ATLÁNTICO,SANTO TOMÁS,Municipio
08,08758,ATLÁNTICO,SOLEDAD,Municipio
08,08770,ATLÁNTICO,SUAN,Municipio
08,08832,ATLÁNTICO,TUBARÁ,Municipio
08,08849,ATLÁNTICO,USIACURÍ,Municipio
11,11001,BOGOTÁ. D.C.,BOGOTÁ. D.C.,Municipio
13,13001,BOLÍVAR,CARTAGENA DE INDIAS,Municipio
13,13006,BOLÍVAR,ACHÍ,Municipio
13,13030,BOLÍVAR,ALTOS DEL ROSARIO,Municipio
13,13042,BOLÍVAR,ARENAL,Municipio
13,13052,BOLÍVAR,ARJONA,Municipio
13,13062,BOLÍVAR,ARROYOHONDO,Municipio
13,13074,BOLÍVAR,BARRANCO DE LOBA,Municipio
13,13140,BOLÍVAR,CALAMAR,Municipio
13,13160,BOLÍVAR,CANTAGALLO,Municipio
13,13188,BOLÍVAR,CICUCO,Municipio
13,13212,BOLÍVAR,CÓRDOBA,Municipio
13,13222,BOLÍVAR,CLEMENCIA,Municipio
13,13244,BOLÍVAR,EL CARMEN DE BOLÍVAR,Municipio
13,13248,BOLÍVAR,EL GUAMO,Municipio
13,13268,BOLÍVAR,EL PEÑÓN,Municipio
13,13300,BOLÍVAR,HATILLO DE LOBA,Municipio
13,13430,BOLÍVAR,MAGANGUÉ,Municipio
13,13433,BOLÍVAR,MAHATES,Municipio
13,13440,BOLÍVAR,MARGARITA,Municipio
13,13442,BOLÍVAR,MARÍA LA BAJA,Municipio
13,13458,BOLÍVAR,MONTECRISTO,Municipio
13,13468,BOLÍVAR,SANTA CRUZ DE MOMPOX,Municipio
13,13473,BOLÍVAR,MORALES,Municipio
13,13490,BOLÍVAR,NOROSÍ,Municipio
13,13549,BOLÍVAR,PINILLOS,Municipio
13,13580,BOLÍVAR,REGIDOR,Municipio
13,13600,BOLÍVAR,RÍO VIEJO,Municipio
13,13620,BOLÍVAR,SAN CRISTÓBAL,Municipio
13,13647,BOLÍVAR,SAN ESTANISLAO,Municipio
13,13650,BOLÍVAR,SAN FERNANDO,Municipio
13,13654,BOLÍVAR,SAN JACINTO,Municipio
13,13655,BOLÍVAR,SAN JACINTO DEL CAUCA,Municipio
13,13657,BOLÍVAR,SAN JUAN NEPOMUCENO,Municipio
13,13667,BOLÍVAR,SAN MARTÍN DE LOBA,Municipio
13,13670,BOLÍVAR,SAN PABLO,Municipio
13,13673,BOLÍVAR,SANTA CATALINA,Municipio
13,13683,BOLÍVAR,SANTA ROSA,Municipio
13,13688,BOLÍVAR,SANTA ROSA DEL SUR,Municipio
13,13744,BOLÍVAR,SIMITÍ,Municipio
13,13760,BOLÍVAR,SOPLAVIENTO,Municipio
13,13780,BOLÍVAR,TALAIGUA NUEVO,Municipio
13,13810,BOLÍVAR,TIQUISIO,Municipio
13,13836,BOLÍVAR,TURBACO,Municipio
13,13838,BOLÍVAR,TURBANÁ,Municipio
13,13873,BOLÍVAR,VILLANUEVA,Municipio
13,13894,BOLÍVAR,ZAMBRANO,Municipio
15,15001,BOYACÁ,TUNJA,Municipio
15,15022,BOYACÁ,ALMEIDA,Municipio
15,15047,BOYACÁ,AQUITANIA,Municipio
15,15051,BOYACÁ,ARCABUCO,Municipio
15,15087,BOYACÁ,BELÉN,Municipio
15,15090,BOYACÁ,BERBEO,Municipio
15,15092,BOYACÁ,BETÉITIVA,Municipio
15,15097,BOYACÁ,BOAVITA,Municipio
15,15104,BOYACÁ,BOYACÁ,Municipio
15,15106,BOYACÁ,BRICEÑO,Municipio
15,15109,BOYACÁ,BUENAVISTA,Municipio
15,15114,BOYACÁ,BUSBANZÁ,Municipio
15,15131,BOYACÁ,CALDAS,Municipio
15,15135,BOYACÁ,CAMPOHERMOSO,Municipio
15,15162,BOYACÁ,CERINZA,Municipio
15,15172,BOYACÁ,CHINAVITA,Municipio
15,15176,BOYACÁ,CHIQUINQUIRÁ,Municipio
15,15180,BOYACÁ,CHISCAS,Municipio
15,15183,BOYACÁ,CHITA,Municipio
15,15185,BOYACÁ,CHITARAQUE,Municipio
15,15187,BOYACÁ,CHIVATÁ,Municipio
15,15189,BOYACÁ,CIÉNEGA,Municipio
15,15204,BOYACÁ,CÓMBITA,Municipio
15,15212,BOYACÁ,COPER,Municipio
15,15215,BOYACÁ,CORRALES,Municipio
15,15218,BOYACÁ,COVARACHÍA,Municipio
15,15223,BOYACÁ,CUBARÁ,Municipio
19,19318,CAUCA,GUAPI,Municipio
15,15224,BOYACÁ,CUCAITA,Municipio
15,15226,BOYACÁ,CUÍTIVA,Municipio
15,15232,BOYACÁ,CHÍQUIZA,Municipio
15,15236,BOYACÁ,CHIVOR,Municipio
15,15238,BOYACÁ,DUITAMA,Municipio
15,15244,BOYACÁ,EL COCUY,Municipio
15,15248,BOYACÁ,EL ESPINO,Municipio
15,15272,BOYACÁ,FIRAVITOBA,Municipio
15,15276,BOYACÁ,FLORESTA,Municipio
15,15293,BOYACÁ,GACHANTIVÁ,Municipio
15,15296,BOYACÁ,GÁMEZA,Municipio
15,15299,BOYACÁ,GARAGOA,Municipio
15,15317,BOYACÁ,GUACAMAYAS,Municipio
15,15322,BOYACÁ,GUATEQUE,Municipio
15,15325,BOYACÁ,GUAYATÁ,Municipio
15,15332,BOYACÁ,GÜICÁN DE LA SIERRA,Municipio
15,15362,BOYACÁ,IZA,Municipio
15,15367,BOYACÁ,JENESANO,Municipio
15,15368,BOYACÁ,JERICÓ,Municipio
15,15377,BOYACÁ,LABRANZAGRANDE,Municipio
15,15380,BOYACÁ,LA CAPILLA,Municipio
15,15401,BOYACÁ,LA VICTORIA,Municipio
15,15403,BOYACÁ,LA UVITA,Municipio
15,15407,BOYACÁ,VILLA DE LEYVA,Municipio
15,15425,BOYACÁ,MACANAL,Municipio
15,15442,BOYACÁ,MARIPÍ,Municipio
15,15455,BOYACÁ,MIRAFLORES,Municipio
15,15464,BOYACÁ,MONGUA,Municipio
15,15466,BOYACÁ,MONGUÍ,Municipio
15,15469,BOYACÁ,MONIQUIRÁ,Municipio
15,15476,BOYACÁ,MOTAVITA,Municipio
15,15480,BOYACÁ,MUZO,Municipio
15,15491,BOYACÁ,NOBSA,Municipio
15,15494,BOYACÁ,NUEVO COLÓN,Municipio
15,15500,BOYACÁ,OICATÁ,Municipio
15,15507,BOYACÁ,OTANCHE,Municipio
15,15511,BOYACÁ,PACHAVITA,Municipio
15,15514,BOYACÁ,PÁEZ,Municipio
15,15516,BOYACÁ,PAIPA,Municipio
15,15518,BOYACÁ,PAJARITO,Municipio
15,15522,BOYACÁ,PANQUEBA,Municipio
15,15531,BOYACÁ,PAUNA,Municipio
15,15533,BOYACÁ,PAYA,Municipio
15,15537,BOYACÁ,PAZ DE RÍO,Municipio
15,15542,BOYACÁ,PESCA,Municipio
15,15550,BOYACÁ,PISBA,Municipio
15,15572,BOYACÁ,PUERTO BOYACÁ,Municipio
15,15580,BOYACÁ,QUÍPAMA,Municipio
15,15599,BOYACÁ,RAMIRIQUÍ,Municipio
15,15600,BOYACÁ,RÁQUIRA,Municipio
15,15621,BOYACÁ,RONDÓN,Municipio
15,15632,BOYACÁ,SABOYÁ,Municipio
15,15638,BOYACÁ,SÁCHICA,Municipio
15,15646,BOYACÁ,SAMACÁ,Municipio
15,15660,BOYACÁ,SAN EDUARDO,Municipio
15,15664,BOYACÁ,SAN JOSÉ DE PARE,Municipio
15,15667,BOYACÁ,SAN LUIS DE GACENO,Municipio
15,15673,BOYACÁ,SAN MATEO,Municipio
15,15676,BOYACÁ,SAN MIGUEL DE SEMA,Municipio
15,15681,BOYACÁ,SAN PABLO DE BORBUR,Municipio
15,15686,BOYACÁ,SANTANA,Municipio
15,15690,BOYACÁ,SANTA MARÍA,Municipio
15,15693,BOYACÁ,SANTA ROSA DE VITERBO,Municipio
15,15696,BOYACÁ,SANTA SOFÍA,Municipio
15,15720,BOYACÁ,SATIVANORTE,Municipio
15,15723,BOYACÁ,SATIVASUR,Municipio
15,15740,BOYACÁ,SIACHOQUE,Municipio
15,15753,BOYACÁ,SOATÁ,Municipio
15,15755,BOYACÁ,SOCOTÁ,Municipio
15,15757,BOYACÁ,SOCHA,Municipio
15,15759,BOYACÁ,SOGAMOSO,Municipio
15,15761,BOYACÁ,SOMONDOCO,Municipio
15,15762,BOYACÁ,SORA,Municipio
15,15763,BOYACÁ,SOTAQUIRÁ,Municipio
15,15764,BOYACÁ,SORACÁ,Municipio
15,15774,BOYACÁ,SUSACÓN,Municipio
15,15776,BOYACÁ,SUTAMARCHÁN,Municipio
15,15778,BOYACÁ,SUTATENZA,Municipio
15,15790,BOYACÁ,TASCO,Municipio
15,15798,BOYACÁ,TENZA,Municipio
15,15804,BOYACÁ,TIBANÁ,Municipio
15,15806,BOYACÁ,TIBASOSA,Municipio
15,15808,BOYACÁ,TINJACÁ,Municipio
15,15810,BOYACÁ,TIPACOQUE,Municipio
15,15814,BOYACÁ,TOCA,Municipio
15,15816,BOYACÁ,TOGÜÍ,Municipio
15,15820,BOYACÁ,TÓPAGA,Municipio
15,15822,BOYACÁ,TOTA,Municipio
15,15832,BOYACÁ,TUNUNGUÁ,Municipio
15,15835,BOYACÁ,TURMEQUÉ,Municipio
15,15837,BOYACÁ,TUTA,Municipio
15,15839,BOYACÁ,TUTAZÁ,Municipio
15,15842,BOYACÁ,ÚMBITA,Municipio
15,15861,BOYACÁ,VENTAQUEMADA,Municipio
15,15879,BOYACÁ,VIRACACHÁ,Municipio
15,15897,BOYACÁ,ZETAQUIRA,Municipio
17,17001,CALDAS,MANIZALES,Municipio
17,17013,CALDAS,AGUADAS,Municipio
17,17042,CALDAS,ANSERMA,Municipio
17,17050,CALDAS,ARANZAZU,Municipio
17,17088,CALDAS,BELALCÁZAR,Municipio
17,17174,CALDAS,CHINCHINÁ,Municipio
17,17272,CALDAS,FILADELFIA,Municipio
17,17380,CALDAS,LA DORADA,Municipio
17,17388,CALDAS,LA MERCED,Municipio
17,17433,CALDAS,MANZANARES,Municipio
17,17442,CALDAS,MARMATO,Municipio
17,17444,CALDAS,MARQUETALIA,Municipio
17,17446,CALDAS,MARULANDA,Municipio
17,17486,CALDAS,NEIRA,Municipio
17,17495,CALDAS,NORCASIA,Municipio
17,17513,CALDAS,PÁCORA,Municipio
17,17524,CALDAS,PALESTINA,Municipio
17,17541,CALDAS,PENSILVANIA,Municipio
17,17614,CALDAS,RIOSUCIO,Municipio
17,17616,CALDAS,RISARALDA,Municipio
17,17653,CALDAS,SALAMINA,Municipio
17,17662,CALDAS,SAMANÁ,Municipio
17,17665,CALDAS,SAN JOSÉ,Municipio
17,17777,CALDAS,SUPÍA,Municipio
17,17867,CALDAS,VICTORIA,Municipio
17,17873,CALDAS,VILLAMARÍA,Municipio
17,17877,CALDAS,VITERBO,Municipio
18,18001,CAQUETÁ,FLORENCIA,Municipio
18,18029,CAQUETÁ,ALBANIA,Municipio
18,18094,CAQUETÁ,BELÉN DE LOS ANDAQUÍES,Municipio
18,18150,CAQUETÁ,CARTAGENA DEL CHAIRÁ,Municipio
18,18205,CAQUETÁ,CURILLO,Municipio
18,18247,CAQUETÁ,EL DONCELLO,Municipio
18,18256,CAQUETÁ,EL PAUJÍL,Municipio
18,18410,CAQUETÁ,LA MONTAÑITA,Municipio
18,18460,CAQUETÁ,MILÁN,Municipio
18,18479,CAQUETÁ,MORELIA,Municipio
18,18592,CAQUETÁ,PUERTO RICO,Municipio
18,18610,CAQUETÁ,SAN JOSÉ DEL FRAGUA,Municipio
18,18753,CAQUETÁ,SAN VICENTE DEL CAGUÁN,Municipio
18,18756,CAQUETÁ,SOLANO,Municipio
18,18785,CAQUETÁ,SOLITA,Municipio
18,18860,CAQUETÁ,VALPARAÍSO,Municipio
19,19001,CAUCA,POPAYÁN,Municipio
19,19022,CAUCA,ALMAGUER,Municipio
19,19050,CAUCA,ARGELIA,Municipio
19,19075,CAUCA,BALBOA,Municipio
19,19100,CAUCA,BOLÍVAR,Municipio
19,19110,CAUCA,BUENOS AIRES,Municipio
19,19130,CAUCA,CAJIBÍO,Municipio
19,19137,CAUCA,CALDONO,Municipio
19,19142,CAUCA,CALOTO,Municipio
19,19212,CAUCA,CORINTO,Municipio
19,19256,CAUCA,EL TAMBO,Municipio
19,19290,CAUCA,FLORENCIA,Municipio
19,19300,CAUCA,GUACHENÉ,Municipio
19,19355,CAUCA,INZÁ,Municipio
19,19364,CAUCA,JAMBALÓ,Municipio
19,19392,CAUCA,LA SIERRA,Municipio
19,19397,CAUCA,LA VEGA,Municipio
19,19418,CAUCA,LÓPEZ DE MICAY,Municipio
19,19450,CAUCA,MERCADERES,Municipio
19,19455,CAUCA,MIRANDA,Municipio
19,19473,CAUCA,MORALES,Municipio
19,19513,CAUCA,PADILLA,Municipio
19,19517,CAUCA,PÁEZ,Municipio
